text_id;tweet_cleaned_id;tweet_preprocessed
"""Operasi Zebra tahun ini dilarang melaksanakan tilang manual, seluruh penilangan dilaksanakan dengan sistem ETLE statis maupun mobile dan dengan teguran simpatik."" kata Kasubbag Ren Ops Bagops Korlantas Polri.
https://t.co/rVr7smOiag";operasi zebra tahun ini dilarang melaksanakan tilang manual seluruh penilangan dilaksanakan dengan sistem etle statis maupun mobile dan dengan teguran simpatik kata kasubbag ren ops bagops korlantas polri ;['operasi', 'zebra', 'larang', 'laksana', 'bukti', 'langgar', 'manual', 'tilang', 'laksana', 'sistem', 'etle', 'statis', 'mobile', 'tegur', 'simpatik', 'kepala', 'subbagian', 'ren', 'ops', 'bagops', 'korlantas', 'polri']
Tilang Manual Dilarang, Polisi Bakal Manfaatkan Ratusan Kamera ETLE https://t.co/LHr8nEJKbZ;tilang manual dilarang polisi bakal manfaatkan ratusan kamera etle ;['bukti', 'langgar', 'manual', 'larang', 'polisi', 'manfaat', 'ratus', 'kamera', 'etle']
@kompascom Gmn caranya ETLE menangkap pelanggaran ganjil genap?; gmn caranya etle menangkap pelanggaran ganjil genap;['etle', 'tangkap', 'langgar', 'ganjil', 'genap']
Komisi III DPR Sarankan Tilang Elektronik Dioptimalkan https://t.co/oMVWGH5Wed;komisi ii dpr sarankan tilang elektronik dioptimalkan ;['komisi', 'ii', 'dpr', 'saran', 'bukti', 'langgar', 'elektronik', 'optimal']
"Bhabinkamtibmas Polsek Pulau Raja BRIPKA DODI NOPRIADI menghimbau kepada Masyarakat agar mendownload aplikasi super polri app di play store untuk mendapatkan pelayanan online sbb : 
1. Pengaduan Masyarakat
2. SIM Online
3. Pengurusan STNK 
4. Tilang ( ETLE )
5. SP2HP
6. SKCK https://t.co/tpnl9JK8dR";bhabinkamtibmas polsek pulau raja bripka dodi nopriadi menghimbau kepada masyarakat agar mendownload aplikasi super polri app di play store untuk mendapatkan pelayanan online sbb   pengaduan masyarakat  sim online  pengurusan stnk  tilang  etle   sphp  skck ;['bhabinkamtibmas', 'polsek', 'pulau', 'raja', 'bripka', 'dodi', 'nopriadi', 'menghimbau', 'masyarakat', 'mendownload', 'aplikasi', 'super', 'polri', 'app', 'play', 'store', 'layan', 'online', 'adu', 'masyarakat', 'sim', 'online', 'urus', 'stnk', 'bukti', 'langgar', 'etle', 'sphp', 'skck']
"Giat kampanye dan sosialisasi ETLE (electronic traffic law enforcement) kepada masyarakat kota Prabumulih , Selasa 8 november 2022

@rtmc_ditlantaspoldasumsel
https://t.co/ScrTfj7eU8";giat kampanye dan sosialisasi etle electronic traffic law enforcement kepada masyarakat kota prabumulih  selasa  november   ;['giat', 'kampanye', 'sosialisasi', 'etle', 'electronic', 'traffic', 'law', 'enforcement', 'masyarakat', 'kota', 'prabumulih', 'selasa', 'november']
E-tle Jalan Tol Trans Sumatera kendaraan melebih batas kecepatan akan tercapture di direktorat lalu lintas polda lampung https://t.co/VCCzFrNngb;etle jalan tol trans sumatera kendaraan melebih batas kecepatan akan tercapture di direktorat lalu lintas polda lampung ;['etle', 'jalan', 'tol', 'trans', 'sumatra', 'kendara', 'lebih', 'batas', 'cepat', 'tercapture', 'direktorat', 'lintas', 'polda', 'lampung']
Kelopak mataku bengkak bantu doa ajalah biar ga dioprasi, soalnya sekarang jamannya etle wkwk https://t.co/nNstqVjOq1;kelopak mataku bengkak bantu doa ajalah biar ga dioprasi soalnya sekarang jamannya etle wkwk ;['kelopak', 'mata', 'bengkak', 'bantu', 'doa', 'aja', 'dioprasi', 'jaman', 'etle', 'tertawa']
"Hayo Jasfren, jangan sampe salah tangkep ya. Sekarang menilang itu menggunakan tilang elektronik atau Electronic Traffic Law Enforvement (ETLE) lho!

Nah peraturan ini diterapkan agar jajaran Korlantas bisa memaksimallan penindakan pelanggaran nih.";hayo jasfren jangan sampe salah tangkep ya sekarang menilang itu menggunakan tilang elektronik atau electronic traffic law enforvement etle lho nah peraturan ini diterapkan agar jajaran korlantas bisa memaksimallan penindakan pelanggaran nih;['hayo', 'jasfren', 'salah', 'tangkep', 'iya', 'tilang', 'bukti', 'langgar', 'elektronik', 'electronic', 'traffic', 'law', 'enforvement', 'etle', 'loh', 'atur', 'terap', 'jajar', 'korlantas', 'memaksimallan', 'tindak', 'langgar']
#KawalAmanG20 Korlantas Polri akan memaksimalkan penggunaan kamera tilang elektronik atau ETLE dan kendaraan listrik untuk pengamanan dan penjagaan di acara Presidensi G20 di Bali. Sinergi Jaga Kondusifitas https://t.co/GTlABEklX8; korlantas polri akan memaksimalkan penggunaan kamera tilang elektronik atau etle dan kendaraan listrik untuk pengamanan dan penjagaan di acara presidensi g di bali sinergi jaga kondusifitas ;['korlantas', 'polri', 'maksimal', 'guna', 'kamera', 'bukti', 'langgar', 'elektronik', 'etle', 'kendara', 'listrik', 'aman', 'jaga', 'acara', 'presidensi', 'g', 'bal', 'sinergi', 'jaga', 'kondusifitas']
